Rk No,Daśati/Sukta,Ārcika,Adhyāya,Khaṇḍa,Prapāṭhaka,Ardha,S No,R̥k Text,R̥ṣi,Chandas,Dēvata,Padapāṭha
1,1,Pūrvārcika-Āg,1,1,1,1,1.1.1.1.0,अ꣢ग्न꣣ आ꣡ या꣢हि वी꣣त꣡ये꣢ गृणा꣣नो꣢ ह꣣व्य꣡दा꣢तये। नि꣡ होता꣢꣯ सत्सि ब꣣र्हि꣡षि꣢ ॥,भरद्वाजो बार्हस्पत्यः,गायत्री,अग्निः,अ꣡ग्ने꣢꣯। आ। या꣣हि। वीत꣡ये꣢। गृ꣣णानः꣢। ह꣣व्य꣡दा꣢तये। ह꣣व्य꣢। दा꣣तये। नि꣢। हो꣡ता꣢꣯। स꣣त्सि। बर्हि꣡षि꣢। १।
2,1,Pūrvārcika-Āg,1,1,1,1,1.1.1.2.0,त्व꣡म꣢ग्ने य꣣ज्ञा꣢ना꣣ꣳ हो꣢ता꣣ वि꣡ श्वे꣢षाꣳ हि꣣तः꣢। दे꣣वे꣢भि꣣र्मा꣡नु꣢षे꣣ ज꣡ने꣢ ॥,भरद्वाजो बार्हस्पत्यः,गायत्री,अग्निः,त्व꣢म्। अ꣣ग्ने। यज्ञा꣡ना꣢म्। हो꣡ता꣢꣯। वि꣡श्वे꣢꣯षाम्। हि꣣तः꣢। दे꣣वे꣡भिः꣢। मा꣡नु꣢꣯षे। ज꣡ने꣢꣯। २।
3,1,Pūrvārcika-Āg,1,1,1,1,1.1.1.3.0,अ꣣ग्निं꣢ दू꣣तं꣡ वृ꣢णीमहे꣣ हो꣡ता꣢रं वि꣣श्व꣡वे꣢दसम्। अ꣣स्य꣢ य꣣ज्ञ꣡स्य꣢ सु꣣क्र꣡तु꣢म् ॥,मेधातिथिः काण्वः,गायत्री,अग्निः,अ꣣ग्नि꣢म्। दू꣣त꣢म्। वृ꣣णीमहे। हो꣡ता꣢꣯रम्। वि꣣श्व꣡वे꣢दसम्। वि꣣श्व꣢। वे꣣दसम्। अस्य꣢। य꣣ज्ञ꣡स्य꣢। सु꣣क्र꣡तु꣢म्। सु꣣। क्र꣡तु꣢꣯म्। ३।
4,1,Pūrvārcika-Āg,1,1,1,1,1.1.1.4.0,अ꣣ग्नि꣢र्वृ꣣त्रा꣡णि꣢ जङ्घनद् द्रविण꣣स्यु꣡र्वि꣢प꣣न्य꣡या꣢। स꣡मि꣢द्धः शु꣣क्र꣡ आहु꣢꣯तः ॥,भरद्वाजो बार्हस्पत्यः,गायत्री,अग्निः,अ꣣ग्निः꣢। वृ꣣त्रा꣡णि꣢। ज꣣ङ्घनत्। द्रविणस्युः꣢। वि꣣पन्य꣡या꣢। स꣡मि꣢꣯द्धः। सम्। इ꣣द्धः। शुक्रः꣢। आ꣡हु꣢꣯तः। आ। हु꣣तः। ४।
5,1,Pūrvārcika-Āg,1,1,1,1,1.1.1.5.0,प्रे꣡ष्ठं꣢ वो꣣ अ꣡ति꣢थिꣳ स्तु꣣षे꣢ मि꣣त्र꣡मि꣢व प्रि꣣य꣢म्। अ꣢ग्ने꣣ र꣢थं꣣ न꣡ वेद्य꣢꣯म् ॥,उशना काव्यः,गायत्री,अग्निः,प्रे꣡ष्ठ꣢꣯म्। वः꣣। अ꣡ति꣢꣯थिम्। स्तु꣣षे꣢। मि꣣त्र꣢म्। मि꣣। त्र꣢म्। इ꣣व। प्रिय꣢म्। अ꣡ग्ने꣢꣯। र꣡थ꣢꣯म्। न। वे꣡द्य꣢꣯म्। ५।
6,1,Pūrvārcika-Āg,1,1,1,1,1.1.1.6.0,त्वं꣡ नो꣢ अग्ने꣣ म꣡हो꣢भिः पा꣣हि꣢ विश्व꣢꣯स्या꣣ अ꣡रा꣢तेः। उ꣣त꣢ द्वि꣣षो꣡ मर्त्य꣢꣯स्य ॥,सुदीतिपुरुमीढावाङ्गिरसौ तयोर्वान्यतरः,गायत्री,अग्निः,त्व꣢म्। नः꣢। अग्ने। म꣡हो꣢꣯भिः। पा꣣हि꣢। वि꣡श्व꣢꣯स्य। अ꣡रा꣢꣯तेः। अ। रा꣣तेः। उत꣢। द्वि꣣षः꣢। म꣡र्त्य꣢꣯स्य। ६।
7,1,Pūrvārcika-Āg,1,1,1,1,1.1.1.7.0,ए꣢ह्यू꣣ षु꣡ ब्रवा꣢꣯णि꣣ ते꣡ऽग्न꣢ इ꣣त्थे꣡त꣢रा꣣ गि꣡रः꣢। ए꣣भि꣡र्व꣢र्धास꣣ इ꣡न्दु꣢भिः ॥,भरद्वाजो बार्हस्पत्यः,गायत्री,अग्निः,आ꣢। इ꣣हि। उ। सु꣢। ब्र꣡वा꣢꣯णि। ते꣣। अ꣡ग्ने꣢꣯। इ꣣त्था꣢। इ꣡त꣢꣯राः। गि꣡रः꣢꣯। ए꣣भिः꣢। व꣣र्धासे। इ꣡न्दु꣢꣯भिः। ७।
8,1,Pūrvārcika-Āg,1,1,1,1,1.1.1.8.0,आ꣡ ते꣢ व꣣त्सो꣡ मनो꣢꣯ यमत्पर꣣मा꣡च्चि꣢त्स꣣ध꣡स्था꣢त्। अ꣢ग्ने꣣ त्वां꣡ का꣢मये गि꣣रा꣢ ॥,वत्सः काण्वः,गायत्री,अग्निः,आ꣢। ते꣣। वत्सः꣢। म꣡नः꣢꣯। य꣣मत्। परमा꣢त्। चि꣣त्। सध꣡स्था꣢त्। स꣣ध꣢। स्था꣣त्। अ꣡ग्ने꣢꣯। त्वाम्। का꣣मये। गिरा꣢। ८।
9,1,Pūrvārcika-Āg,1,1,1,1,1.1.1.9.0,त्वा꣡म꣢ग्ने꣣ पु꣡ष्क꣢रा꣣द꣡ध्यथ꣢꣯र्वा꣣ नि꣡र꣢मन्थत। मू꣣र्ध्नो꣡ विश्व꣢꣯स्य वा꣣घ꣡तः꣢ ॥,भरद्वाजो बार्हस्पत्यः,गायत्री,अग्निः,त्वा꣢म्। अ꣣ग्ने। पु꣡ष्क꣢꣯रात्। अ꣡धि꣢꣯। अ꣡थ꣢꣯र्वा। निः। अ꣣मन्थत। मूर्ध्नः꣢। वि꣡श्व꣢꣯स्य। वा꣣घ꣡तः꣢। ९।
10,1,Pūrvārcika-Āg,1,1,1,1,1.1.1.10.0,अ꣢ग्ने꣣ वि꣡व꣢स्व꣣दा꣡ भ꣢रा꣣स्म꣡भ्य꣢मू꣣त꣡ये꣢ म꣣हे꣢। दे꣣वो꣡ ह्यसि꣢꣯ नो दृ꣣शे꣢ ॥,वामदेवः,गायत्री,अग्निः,अ꣡ग्ने꣢꣯। वि꣡व꣢꣯स्वत्। वि। व꣣स्वत्। आ꣢। भ꣣र। अस्म꣡भ्य꣢म्। ऊ꣣त꣡ये꣢। म꣣हे꣢। दे꣣वः꣢। हि। अ꣡सि꣢꣯। नः꣢। दृशे꣢। १०।
