R̥k no,Daśati/Sukta,Ārcika,Adhyāya,Khaṇḍa,Prapāṭhaka,Ardha,Ref No,Sāma No,Sāma(R̥k),R̥ṣi,Chandas,Dēvata,Text,Notes
1,1,Pūrvārcika-Āg,1,1,1,1,1.1.1.1.0,,,,,,,
,,,,,,,1.1.1.1.1,1,1,गोतमो,गायत्री,अग्निः,ओ꣤ग्नाइ॥ आ꣢꣯या꣯हीऽ३वो꣡इतोयाऽ᳒२᳒इ। तो꣡याऽ᳒२᳒इ। गृ꣡णा꣯नो꣢꣯ह। व्यदा꣡तोयाऽ᳒२᳒इ। तो꣡याऽ᳒२᳒इ॥ ना꣡इहो꣢꣯ता꣡साऽ२३॥ त्सा꣡ऽ२᳐इबा꣣ऽ२३४औ꣥꣯हो꣯वा॥ ही꣣ऽ२३४षी꣥॥,Parkaḥ
,,,,,,,1.1.1.1.2,2,2,कश्यपो,गायत्री,अग्निः,अ꣤ग्न꣥आ꣤꣯या꣥꣯हिवी꣤॥ त꣡याइ। गृणा꣯नो꣯हव्यदा꣯ताऽ२३या꣢इ। नि꣡हो꣯ता꣯ सत्सि꣢ ब꣡र्हाऽ२३इषी꣢॥ ब꣡र्हाऽ२᳐इषा꣣ऽ२३४औ꣥꣯हो꣯वा॥ ब꣢र्ही᳐ऽ३षी꣡ऽ२३꣡४꣡५꣡॥,Barhiṣyaṁ
,,,,,,,1.1.1.1.3,3,3,गोतमो,गायत्री,अग्निः,अ꣤ग्न꣥आ꣤꣯या꣥꣯हि। वा꣤ऽ५इतया꣤इ॥ गृ꣡णा꣯नो꣯हव्यदा꣢ऽ१ता꣢ऽ३ये꣢॥ निहो᳐ता꣣ऽ२३४सा꣥॥ त्सा꣡ऽ२३इबा꣢ऽ३। हा꣡ऽ२३४इषो꣥ऽ६᳓हा꣥इ॥,Parkaḥ
2,1,Pūrvārcika-Āg,1,1,1,1,1.1.1.2.0,,,,,,,
,,,,,,,1.1.1.2.1,4,1,विश्वमनाः,गायत्री,अग्निः,त्व꣤म꣥ग्ने꣯यज्ञा꣤꣯ना꣥꣯म्। त्व꣤म꣥ग्ना꣤इ॥ य꣢ज्ञा꣡꣯नाꣳ꣯ हो꣯ता꣯। विश्वे꣯षाꣳ꣯ हाऽ२३इताः꣢॥ दे꣯वै꣡꣯भाऽ२३इर्मा꣢। नु꣣षे꣯ज꣢ना꣡। औ꣢ऽ३हो꣤वा꣥। हो꣤ऽ५इ॥ डा॥,"Sauparṇa-Suparṇōḥ, Vaiśvamanasam"
3,1,Pūrvārcika-Āg,1,1,1,1,1.1.1.3.0,,,,,,,
,,,,,,,1.1.1.3.1,5,1,भरद्वाजो,गायत्री,अग्निः,अ꣥ग्निन्दू꣯ताम्॥ वृ꣢णी꣡꣯महाइ। हो꣯ता꣯रांऽ२३वी꣢। श्ववे꣡꣯दसाम्॥ अस्ययाऽ२३ज्ञा꣢। आ꣡। औ꣢ऽ३हो꣯वा꣢॥ स्या꣡सुक्र꣢तुम्। इ꣡डाऽ२३भा꣢ऽ३४३। ओ꣡ऽ२३४५इ॥ डा॥,Br̥hadbhāradvājam- Br̥hadāgnēyam-Br̥hadāsauram
4,1,Pūrvārcika-Āg,1,1,1,1,1.1.1.4.0,,,,,,,
,,,,,,,1.1.1.4.1,6,1,श्रुतर्षिः,गायत्री,अग्निः,अ꣥ग्निर्वृत्रा॥ णा꣡ऽ२᳐इजा꣣ऽ२३४औ꣥꣯हो꣯वा। घा꣣ऽ२३४ना꣥त्। द्र꣢विणस्यु꣡र्विप꣢न्य꣡या꣰꣯ऽ२। ओ꣡इसमिद्धाऽ२३श्शू꣢॥ क्रा꣡या꣯हु꣢तः। इ꣡डाऽ२३भा꣢ऽ३४३। ओ꣡ऽ२३४५इ॥ डा॥,(Śrautarṣāṇi trīṇi) śrautarṣam
,,,,,,,1.1.1.4.2,7,2,श्रुतर्षिः,गायत्री,अग्निः,अ꣣ग्नि꣢रौ꣣꣯हो꣤वाहा꣥इ। वृत्रा꣤णी꣥॥ जा꣡ङ्घा꣢ऽ३ना꣢त्। औ꣡हो꣢ऽ᳐३वा꣢ऽ३। द्र꣡विणा꣣ऽ२३४स्यूः꣥। ओ꣡इवोइप꣪न्ययाऽ᳒२᳒॥ स꣡माये꣢ऽ᳐३। धा꣡ऽ२᳐श्शू꣣ऽ२३४औ꣥꣯हो꣯वा। क्र꣢या꣡꣯हुता꣣ऽ२३꣡४꣡५ः꣡॥,
,,,,,,,1.1.1.4.3,8,3,श्रुतर्षिः,गायत्री,अग्निः,"ओ꣤ग्नीः꣥॥ वृ꣢त्रा꣡꣯णिजङ्घनात्। औ꣣꣯हौ꣢᳐हो꣣ऽ२३४वा꣥। द्र꣢विणस्यु꣡र्विप꣢न्य꣡या। औ꣣꣯हौ꣢हो꣣ऽ२३४वा꣥॥ स꣡मिद्ध꣢श्शुक्र꣡या। औ꣣꣯हौ꣢हो꣣ऽ२३४वा꣥॥ हो꣤ऽ५तोऽ६""हा꣥इ॥",
5,1,Pūrvārcika-Āg,1,1,1,1,1.1.1.5.0,,,,,,,
